SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
940,J Liyanage,3,2,0,119,95,59.5,73.91,161,1,0
941,DK Liyanage,16,11,2,144,43,16,69.56,207,0,0
942,KS Lokuarachchi,21,18,3,210,69,14,80.15,262,1,2
943,RS Madugalle,63,56,5,950,73,18.62,60.35,1574,3,4
944,MAWR Madurasinghe,12,6,4,21,8,10.5,33.87,62,0,0
945,D Madushanka,18,10,8,36,19,18,47.36,76,0,0
946,DSK Madushanka,1,1,0,7,7,7,116.66,6,0,0
947,LD Madushanka,4,4,1,14,7,4.66,53.84,26,0,1
948,RS Mahanama,213,198,23,5162,119,29.49,60.57,8522,35,15
949,MF Maharoof,109,75,18,1113,69,19.52,86.01,1294,2,3
950,SL Malinga,226,119,36,567,56,6.83,74.5,761,1,26
951,AD Mathews,226,195,48,5916,139,40.24,82.9,7136,40,17
952,BAW Mendis,87,42,19,188,21,8.17,71.48,263,0,10
953,BKG Mendis,124,121,10,3638,122,32.77,86.78,4192,27,14
954,BMAJ Mendis,58,44,10,636,72,18.7,82.7,769,1,2
955,LRD Mendis,79,74,9,1527,80,23.49,75.07,2034,7,4
956,MC Mendis,1,1,1,3,3,0,150,2,0,0
957,PHKD Mendis,7,7,1,127,57,21.16,59.34,214,1,0
958,RTM Mendis,4,4,2,50,26,25,100,50,0,0
959,J Mubarak,40,37,6,704,72,22.7,63.13,1115,4,1
960,AMN Munasinghe,5,4,1,13,8,4.33,25,52,0,1
961,EMDY Munaweera,2,2,0,15,11,7.5,51.72,29,0,0
962,M Muralidaran,343,161,63,674,33,6.87,77.73,867,0,24
963,MN Nawaz,3,3,1,31,15,15.5,43.66,71,0,0
964,P Nissanka,49,49,4,1728,137,38.4,84.7,2040,13,4
965,RAP Nissanka,23,13,5,53,11,6.62,37.85,140,0,2
966,ARM Opatha,5,3,0,29,18,9.66,52.72,55,0,1
967,SP Pasqual,2,2,1,24,23,24,85.71,28,0,0
968,M Pathirana,12,7,2,11,5,2.2,31.42,35,0,2
969,SS Pathirana,18,14,1,332,56,25.53,86.68,383,1,0
970,AK Perera,6,4,0,52,31,13,62.65,83,0,0
971,ASA Perera,20,13,2,195,56,17.72,75.87,257,1,1
972,MDK Perera,13,12,0,152,30,12.66,76.38,199,0,0
973,MDKJ Perera,116,111,5,3237,135,30.53,92.88,3485,17,12
974,NLTC Perera,166,133,16,2338,140,19.98,112.08,2086,10,11
975,PARP Perera,2,2,0,33,33,16.5,56.89,58,0,1
976,PDRL Perera,19,7,2,8,4,1.6,44.44,18,0,4
977,HSM Pieris,3,3,1,19,16,9.5,32.2,59,0,0
978,Pramod Madushan,3,3,0,17,15,5.66,27.86,61,0,0
979,KTGD Prasad,24,12,6,129,31,21.5,88.35,146,0,1
980,S Prasanna,40,37,3,421,95,12.38,94.6,445,2,7
981,SMA Priyanjan,23,20,2,420,74,23.33,80.45,522,2,0
982,KR Pushpakumara,31,9,5,36,14,9,69.23,52,0,2
983,M Pushpakumara,3,1,1,7,7,0,36.84,19,0,0
984,PM Pushpakumara,2,2,0,11,8,5.5,42.3,26,0,0
985,PBB Rajapaksa,5,5,0,89,65,17.8,104.7,85,1,3
986,CAK Rajitha,34,19,7,117,33,9.75,63.58,184,0,4
987,CPH Ramanayake,62,35,14,210,26,10,56.14,374,0,7
988,AN Ranasinghe,9,8,1,153,51,21.85,104.08,147,1,2
989,SK Ranasinghe,4,3,0,55,41,18.33,67.9,81,0,1
990,A Ranatunga,269,255,47,7456,131,35.84,77.9,9571,49,18
991,D Ranatunga,4,4,0,49,25,12.25,31.41,156,0,1
992,S Ranatunga,13,11,0,253,70,23,48.09,526,2,0
993,RJ Ratnayake,70,55,18,612,33,16.54,86.8,705,0,4
994,JR Ratnayeke,78,69,14,824,50,14.98,52.45,1571,1,4
995,MAR Samarasekera,39,39,2,844,76,22.81,69.92,1207,4,2
996,DP Samaraweera,5,4,0,91,49,22.75,53.84,169,0,0
997,TT Samaraweera,53,42,11,862,105,27.8,69.29,1244,0,4
998,S Samarawickrama,35,32,4,1047,108,37.39,95.44,1097,7,4
999,PADLR Sandakan,31,19,7,64,16,5.33,45.71,140,0,4
1000,KC Sangakkara,397,373,40,13975,169,41.96,78.88,17717,90,15
1001,CP Senanayake,7,7,0,126,27,18,59.71,211,0,1
1002,SMSM Senanayake,49,33,11,290,42,13.18,93.24,311,0,6
1003,MD Shanaka,71,63,5,1299,108,22.39,91.47,1420,4,6
1004,KJ Silva,1,1,1,1,1,0,100,1,0,0
1005,LPC Silva,75,62,7,1587,107,28.85,70.4,2254,13,6
1006,SAR Silva,20,20,0,441,85,22.05,52.62,838,3,1
1007,TAM Siriwardana,27,24,1,516,66,22.43,98.28,525,3,1
1008,APB Tennekoon,4,4,0,137,59,34.25,66.18,207,1,1
1009,WU Tharanga,234,222,17,6941,174,33.85,75.99,9134,37,17
1010,M Theekshana,38,22,8,248,38,17.71,55.85,444,0,4
1011,HDRL Thirimanne,127,106,14,3194,139,34.71,72.27,4420,21,7
1012,T Thushara,38,27,6,392,54,18.66,92.45,424,1,4
1013,HP Tillakaratne,200,168,40,3789,104,29.6,57.51,6588,13,10
1014,MH Tissera,3,3,0,78,52,26,53.06,147,1,0
1015,I Udana,21,18,4,237,78,16.92,95.18,249,1,2
1016,ML Udawatte,9,9,0,257,73,28.55,67.1,383,2,1
1017,KEA Upashantha,12,8,1,49,15,7,56.97,86,0,0
1018,WPUJC Vaas,321,219,72,2018,50,13.72,72.45,2785,1,25
1019,JDF Vandersay,22,14,4,111,25,11.1,47.63,233,0,2
1020,MG Vandort,1,1,0,48,48,48,41.02,117,0,0
1021,KDK Vithanage,6,6,1,75,27,15,83.33,90,0,0
1022,DM Vonhagt,1,1,0,8,8,8,47.05,17,0,0
1023,B Warnapura,12,12,0,180,77,15,43.37,415,1,1
1024,SM Warnapura,3,3,0,35,30,11.66,46.05,76,0,1
1025,KPJ Warnaweera,6,3,3,1,1,0,9.09,11,0,0
1026,AP Weerakkody,1,1,0,2,2,2,50,4,0,0
1027,DS Weerakkody,3,3,0,73,58,24.33,110.6,66,1,0
1028,K Weeraratne,15,9,1,160,41,20,90.39,177,0,0
1029,UWMBCA Welegedara,10,3,2,4,2,4,44.44,9,0,0
1030,DN Wellalage,18,15,3,207,42,17.25,76.95,269,0,3
1031,MD Wettimuny,1,1,0,2,2,2,18.18,11,0,0
1032,S Wettimuny,35,33,1,786,86,24.56,48.04,1636,4,1
1033,SRD Wettimuny,3,3,1,136,67,68,56.19,242,2,0
1034,RPAH Wickramaratne,3,2,0,4,3,2,66.66,6,0,0
1035,GP Wickramasinghe,134,64,24,344,32,8.6,63.35,543,0,12
1036,AGD Wickremasinghe,4,1,0,2,2,2,20,10,0,0
1037,KIW Wijegunawardene,26,12,5,20,8,2.85,36.36,55,0,4
1038,RGCE Wijesuriya,8,3,2,18,12,18,37.5,48,0,1
1039,DNT Zoysa,95,47,21,343,47,13.19,95.81,358,0,5
1040,JC Adams,127,105,28,2204,82,28.62,60.98,3614,14,7
1041,Akeem Jordan,2,1,1,3,3,0,50,6,0,0
1042,FA Allen,20,16,3,200,51,15.38,98.52,203,1,2
1043,SW Ambris,16,15,2,473,148,36.38,95.74,494,2,0
1044,CEL Ambrose,176,96,36,639,31,10.65,64.87,985,0,13
1045,HAG Anthony,3,3,0,23,21,7.66,104.54,22,0,1
1046,KLT Arthurton,105,93,20,1904,84,26.08,67.46,2822,9,12
1047,A Athanaze,7,7,0,240,66,34.28,95.23,252,2,0
1048,RA Austin,1,1,0,8,8,8,61.53,13,0,0
1049,SFAF Bacchus,29,26,3,612,80,26.6,65.94,928,3,2
1050,LS Baker,10,4,2,13,11,6.5,56.52,23,0,1
1051,OAC Banks,5,5,0,83,33,16.6,55.7,149,0,0
1052,EAE Baptiste,43,16,4,184,31,15.33,76.34,241,0,0
1053,AB Barath,14,14,1,394,113,30.3,64.37,612,1,2
1054,CS Baugh,47,35,11,482,49,20.08,67.03,719,0,2
1055,RR Beaton,2,2,1,15,12,15,29.41,51,0,0
1056,KCG Benjamin,26,13,7,65,17,10.83,81.25,80,0,1
1057,WKM Benjamin,85,52,12,298,31,7.45,73.39,406,0,10
1058,SJ Benn,47,30,7,182,31,7.91,75.83,240,0,5
1059,DE Bernard,20,12,2,141,38,14.1,64.38,219,0,1
1060,CA Best,24,23,4,473,100,24.89,68.55,690,2,2
1061,TL Best,26,16,8,76,24,9.5,60.8,125,0,1
1062,D Bishoo,42,25,10,164,29,10.93,62.35,263,0,8
1063,IR Bishop,84,44,19,405,33,16.2,52.19,776,0,3
1064,IDR Bradshaw,62,34,11,287,37,12.47,59.79,480,0,6
1065,CR Brathwaite,44,37,3,559,101,16.44,91.04,614,1,2
1066,KC Brathwaite,10,10,0,278,78,27.8,57.55,483,1,0
1067,DJ Bravo,164,141,24,2968,112,25.36,82.3,3606,10,11
1068,DM Bravo,122,117,14,3109,124,30.18,70.11,4434,18,9
1069,SSJ Brooks,29,29,1,842,101,30.07,75.58,1114,4,5
1070,D Brown,3,2,1,10,9,10,50,20,0,0
1071,BS Browne,4,3,2,8,8,8,33.33,24,0,1
1072,CO Browne,46,32,8,415,46,17.29,70.33,590,0,3
1073,PA Browne,5,5,1,134,49,33.5,74.86,179,0,0
1074,HR Bryan,15,8,2,43,11,7.16,60.56,71,0,1
1075,DK Butler,5,4,3,25,13,25,73.52,34,0,0
1076,JD Campbell,6,5,0,248,179,49.6,115.88,214,0,0
1077,SL Campbell,90,87,0,2283,105,26.24,59.25,3853,14,9
1078,Y Cariah,14,7,1,93,52,15.5,56.02,166,1,0
1079,JL Carter,33,28,3,581,54,23.24,70.68,822,3,1
1080,KU Carty,19,17,3,440,87,31.42,66.36,663,2,1
1081,S Chanderpaul,268,251,40,8778,150,41.6,70.74,12409,59,6
1082,J Charles,58,58,0,1537,130,26.5,85.24,1803,7,9
1083,RL Chase,42,31,4,687,94,25.44,75.49,910,3,3
1084,S Chattergoon,18,17,2,370,54,24.66,60.16,615,2,2
1085,ST Clarke,10,8,2,60,20,10,103.44,58,0,1
1086,PT Collins,30,12,5,30,10,4.28,60,50,0,2
1087,CD Collymore,84,35,17,104,13,5.77,39.84,261,0,8
1088,SS Cottrell,38,19,11,88,17,11,67.69,130,0,2
1089,RT Crandon,1,1,0,5,5,5,55.55,9,0,0
1090,CEH Croft,19,6,4,18,8,9,47.36,38,0,0
1091,CE Cuffy,41,22,8,62,17,4.42,49.6,125,0,5
1092,ML Cummins,11,3,1,10,5,5,37.03,27,0,0
1093,AC Cummins,63,41,11,459,44,15.3,83.3,551,0,3
1094,WW Daniel,18,5,4,49,16,49,87.5,56,0,0
1095,WW Davis,35,5,3,28,10,14,52.83,53,0,0
1096,J Da Silva,2,2,0,14,9,7,40,35,0,0
1097,N Deonarine,31,29,3,682,65,26.23,68.95,989,4,0
1098,R Dhanraj,6,2,1,8,8,8,25,32,0,0
1099,M Dillon,108,51,20,227,21,7.32,55.23,411,0,9
1100,TM Dowlin,11,11,2,228,100,25.33,65.51,348,1,2
1101,SO Dowrich,1,1,0,6,6,6,75,8,0,0
1102,DC Drakes,3,2,0,11,8,5.5,64.7,17,0,0
1103,VC Drakes,34,17,5,94,25,7.83,54.02,174,0,2
1104,PJL Dujon,169,120,36,1945,82,23.15,67.51,2881,6,8
1105,FH Edwards,50,22,14,73,13,9.12,45.62,160,0,2
1106,KA Edwards,16,16,2,331,123,23.64,67,494,0,3
1107,RR Emrit,2,2,1,13,13,13,37.14,35,0,0
1108,SE Findlay,9,8,1,146,59,20.85,75.25,194,1,0
1109,ADS Fletcher,25,25,0,354,54,14.16,64.48,549,2,3
1110,MW Forde,1,1,1,13,13,0,81.25,16,0,0
1111,MLC Foster,2,1,0,25,25,25,40.32,62,0,0
1112,RC Fredericks,12,12,0,311,105,25.91,70.68,440,1,0
1113,RS Gabriel,11,11,0,167,41,15.18,46.38,360,0,2
1114,ST Gabriel,25,16,9,24,12,3.42,38.09,63,0,4
1115,D Ganga,35,34,1,843,71,25.54,59.61,1414,9,5
1116,J Garner,98,41,15,239,37,9.19,66.38,360,0,5
1117,LV Garrick,3,3,0,99,76,33,48.52,204,1,0
1118,CH Gayle,298,291,17,10425,215,38.04,87.16,11961,53,24
1119,OD Gibson,15,11,1,141,52,14.1,102.17,138,1,1
1120,HA Gomes,83,64,15,1415,101,28.87,54.88,2578,6,5
1121,AH Gray,25,11,5,51,10,8.5,66.23,77,0,1
1122,JP Greaves,3,3,0,29,12,9.66,34.11,85,0,0
1123,AE Greenidge,1,1,0,23,23,23,69.69,33,0,0
1124,CG Greenidge,128,127,13,5134,133,45.03,64.92,7908,31,3
1125,AFG Griffith,9,8,1,99,47,14.14,55.93,177,0,0
1126,JN Hamilton,1,1,0,5,5,5,31.25,16,0,0
1127,KJ Harding,1,1,1,1,1,0,100,1,0,0
1128,RA Harper,105,73,20,855,45,16.13,73.58,1162,0,5
1129,DL Haynes,238,237,28,8648,152,41.37,63.09,13707,57,13
1130,RC Haynes,8,6,1,26,18,5.2,39.39,66,0,2
1131,RGA Headley,1,1,0,19,19,19,46.34,41,0,0
1132,C Hemraj,6,6,0,82,32,13.66,83.67,98,0,0
1133,SO Hetmyer,53,50,3,1515,139,32.23,104.55,1449,4,3
1134,RO Hinds,14,9,3,101,18,16.83,59.41,170,0,0
1135,WW Hinds,119,111,10,2880,127,28.51,65.55,4394,14,8
1136,KAR Hodge,3,2,0,26,26,13,89.65,29,0,1
1137,JO Holder,138,114,24,2237,99,24.85,90.23,2479,12,11
1138,RIC Holder,37,31,6,599,65,23.96,68.37,876,2,4
1139,VA Holder,12,6,1,64,30,12.8,75.29,85,0,1
1140,MA Holding,102,42,11,282,64,9.09,74.8,377,2,9
1141,CL Hooper,227,206,43,5761,113,35.34,76.63,7518,29,7
1142,KA Hope,7,6,0,138,46,23,71.87,192,0,0
1143,SD Hope,121,116,16,5132,170,51.32,77.92,6586,25,5
1144,AJ Hosein,38,28,9,266,60,14,73.07,364,1,3
1145,RO Hurley,9,4,0,13,6,3.25,40.62,32,0,1
1146,DP Hyatt,9,9,1,112,39,14,59.57,188,0,1
1147,RD Jacobs,147,112,32,1865,80,23.31,70.06,2662,9,11
1148,JNT Seales,10,5,2,17,16,5.66,41.46,41,0,2
1149,KCB Jeremy,6,4,2,17,8,8.5,40.47,42,0,1
1150,LR Johnson,6,6,0,98,51,16.33,56,175,1,1
1151,AS Joseph,66,39,16,400,49,17.39,72.07,555,0,4
1152,SC Joseph,13,11,1,161,58,16.1,53.31,302,1,2
1153,BD Julien,12,8,2,86,26,14.33,58.1,148,0,1
1154,AI Kallicharran,31,28,4,826,78,34.41,62.15,1329,6,0
1155,RB Kanhai,7,5,2,164,55,54.66,60.07,273,2,0
1156,BA King,37,37,2,1054,112,30.11,84.05,1254,6,5
1157,CL King,18,14,2,280,86,23.33,104.86,267,1,2
1158,RD King,50,23,14,65,12,7.22,32.01,203,0,5
1159,CB Lambert,11,11,0,368,119,33.45,80.7,456,2,1
1160,BC Lara,295,285,32,10348,169,40.9,79.62,12997,62,14
1161,JJC Lawson,13,5,2,18,8,6,112.5,16,0,0
1162,E Lewis,57,54,4,1847,176,36.94,82.97,2226,10,3
1163,RN Lewis,28,21,5,291,49,18.18,79.29,367,0,1
1164,CH Lloyd,87,69,19,1977,102,39.54,81.22,2434,11,1
1165,AL Logie,158,133,36,2809,109,28.95,73.9,3801,14,13
1166,AM McCarthy,2,2,0,15,12,7.5,36.58,41,0,0
1167,XM Marshall,24,24,3,375,157,17.85,68.8,545,0,5
1168,A Martin,9,6,5,10,4,10,34.48,29,0,0
1169,EH Mattis,2,2,0,86,62,43,45.26,190,1,0
1170,KR Mayers,28,26,0,660,120,25.38,85.16,775,2,3
1171,NO Miller,50,27,13,284,51,20.28,79.1,359,1,4
1172,JN Mohammed,36,31,2,630,91,21.72,66.95,941,4,2
1173,RS Morton,56,51,6,1519,110,33.75,66.36,2289,10,7
1174,EA Moseley,9,6,2,7,2,1.75,46.66,15,0,2
1175,G Motie,10,6,2,60,39,15,86.95,69,0,0
1176,DA Murray,10,7,2,45,35,9,32.14,140,0,1
1177,DL Murray,26,17,5,294,61,24.5,62.82,468,2,0
1178,JR Murray,55,36,6,678,86,22.6,72.98,929,5,4
1179,MV Nagamootoo,24,18,6,162,33,13.5,60,270,0,1
1180,SP Narine,65,45,12,363,36,11,82.31,441,0,8
1181,BP Nash,9,7,3,104,39,26,73.75,141,0,0
1182,AR Nurse,54,40,14,502,44,19.3,97.85,513,0,2
1183,KY Ottley,2,2,0,25,24,12.5,48.07,52,0,0
1184,BA Parchment,7,7,0,122,48,17.42,56.22,217,0,0
1185,DR Parry,6,5,1,61,32,15.25,79.22,77,0,0
1186,BP Patterson,59,20,15,44,13,8.8,43.56,101,0,1
1187,KMA Paul,30,22,7,320,46,21.33,96.96,330,0,2
1188,NO Perry,21,16,8,212,52,26.5,62.35,340,1,2
1189,A Phillip,5,2,1,22,21,22,88,25,0,0
1190,K Pierre,3,2,0,39,21,19.5,82.97,47,0,0
1191,KA Pollard,123,113,9,2706,119,26.01,94.41,2866,13,15
1192,N Pooran,61,58,8,1983,118,39.66,99.15,2000,11,3
1193,DBL Powell,55,25,3,118,48,5.36,71.95,164,0,8
1194,KOA Powell,46,44,0,1005,83,22.84,78.63,1278,9,4
1195,R Powell,51,48,3,979,101,21.75,84.9,1153,2,3
1196,RL Powell,109,100,16,2085,124,24.82,96.66,2157,8,8
1197,MR Pydanna,3,1,1,2,2,0,66.66,3,0,0
1198,RR Ramdass,1,1,0,1,1,1,11.11,9,0,0
1199,D Ramdin,139,110,22,2200,169,25,80.35,2738,8,4
1200,D Ramnarine,4,3,0,5,2,1.66,38.46,13,0,0
1201,R Rampaul,92,40,11,362,86,12.48,76.69,472,1,3
1202,IVA Richards,187,167,24,6721,189,47,90.2,7451,45,7
1203,RB Richardson,224,217,30,6248,122,33.41,63.74,9802,44,8
1204,KAJ Roach,95,60,36,308,34,12.83,51.85,594,0,9
1205,AME Roberts,56,32,9,231,37,10.04,64.7,357,0,3
1206,FA Rose,27,23,5,217,30,12.05,81.88,265,0,2
1207,LG Rowe,11,8,0,136,60,17,55.73,244,1,0
1208,AD Russell,56,47,9,1034,92,27.21,130.22,794,4,6
1209,SE Rutherford,3,3,0,72,63,24,78.26,92,1,0
1210,DJG Sammy,126,105,30,1871,89,24.94,100.05,1870,9,4
1211,MN Samuels,207,196,26,5606,133,32.97,75.11,7464,30,11
1212,RG Samuels,8,5,2,54,36,18,85.71,63,0,0
1213,RR Sarwan,181,169,33,5804,120,42.67,75.74,7663,38,8
1214,KF Semple,7,6,0,64,23,10.66,38.78,165,0,0
1215,R Shepherd,28,22,3,391,50,20.57,104.82,373,1,2
1216,IT Shillingford,2,2,0,30,24,15,78.94,38,0,0
1217,S Shivnarine,1,1,1,20,20,0,46.51,43,0,0
1218,LMP Simmons,68,65,3,1958,122,31.58,73.05,2680,16,9
1219,PV Simmons,143,138,11,3675,122,28.93,67.96,5408,18,14
1220,K Sinclair,7,3,1,38,25,19,59.37,64,0,0
1221,DR Smith,105,89,5,1560,97,18.57,92.69,1683,8,14
1222,DS Smith,47,45,2,1059,107,24.62,70.31,1506,5,4
1223,OF Smith,9,8,1,199,46,28.42,167.22,119,0,0
1224,JE Taylor,90,42,9,278,43,8.42,86.06,323,0,7
1225,DC Thomas,21,19,2,238,37,14,65.38,364,0,3
1226,O Thomas,22,11,6,13,6,2.6,22.41,58,0,3
1227,PA Wallace,33,33,0,701,103,21.24,60.9,1151,2,4
1228,CA Walsh,205,79,33,321,30,6.97,71.17,451,0,11
1229,HR Walsh,21,11,3,128,46,16,72.31,177,0,0
1230,CAK Walton,9,8,0,53,19,6.62,61.62,86,0,4
1231,D Williams,36,23,7,147,32,9.18,60.74,242,0,4
1232,KOK Williams,8,5,4,19,16,19,70.37,27,0,0
1233,LR Williams,15,13,2,124,41,11.27,66.66,186,0,2
1234,SC Williams,57,55,6,1586,105,32.36,66.02,2402,12,6
1235,Mohammad Nabi,156,137,15,3208,116,26.29,85.89,3735,16,6
1236,Mujeeb Ur Rahman,75,40,14,236,64,9.07,90.07,262,1,12
1237,Naveen-ul-Haq,15,10,5,37,10,7.4,68.51,54,0,2
1238,Rashid Khan,103,81,14,1316,60,19.64,105.28,1250,5,8
1239,Q de Kock,155,155,7,6770,178,45.74,96.64,7005,30,4
1240,AB de Villiers,223,213,39,9427,176,54.17,101.27,9309,52,7
1241,F du Plessis,143,136,20,5507,185,47.47,88.6,6216,35,3
1242,DA Miller,173,149,43,4458,139,42.05,103.31,4315,24,9
